"Id","Label","Type"
"data science and analytics","data science and analytics","Main Topic"
"data","data","Subtopic"
"analytics","analytics","Subtopic"
"analysis","analysis","Subtopic"
"big","big","Subtopic"
"mining","mining","Subtopic"
"visualization","visualization","Subtopic"
"machine","machine","Subtopic"
"learning","learning","Subtopic"
"algorithms","algorithms","Subtopic"
"statistical","statistical","Subtopic"
"predictive","predictive","Subtopic"
"modeling","modeling","Subtopic"
"python","python","Subtopic"
"r","r","Subtopic"
"sql","sql","Subtopic"
"tableau","tableau","Subtopic"
"excel","excel","Subtopic"
"descriptive","descriptive","Subtopic"
"exploratory","exploratory","Subtopic"
"regression","regression","Subtopic"
"classification","classification","Subtopic"
"clustering","clustering","Subtopic"
"neural","neural","Subtopic"
"deep","deep","Subtopic"
"ai","ai","Subtopic"
"artificial","artificial","Subtopic"
"intelligence","intelligence","Subtopic"
"business and management","business and management","Main Topic"
"business","business","Subtopic"
"management","management","Subtopic"
"strategic","strategic","Subtopic"
"strategy","strategy","Subtopic"
"leadership","leadership","Subtopic"
"organizational","organizational","Subtopic"
"marketing","marketing","Subtopic"
"sales","sales","Subtopic"
"finance","finance","Subtopic"
"accounting","accounting","Subtopic"
"economics","economics","Subtopic"
"entrepreneurship","entrepreneurship","Subtopic"
"consulting","consulting","Subtopic"
"project","project","Subtopic"
"agile","agile","Subtopic"
"operations","operations","Subtopic"
"supply","supply","Subtopic"
"chain","chain","Subtopic"
"retail","retail","Subtopic"
"customer","customer","Subtopic"
"stakeholder","stakeholder","Subtopic"
"decision","decision","Subtopic"
"decisionmaking","decisionmaking","Subtopic"
"technology and computing","technology and computing","Main Topic"
"programming","programming","Subtopic"
"code","code","Subtopic"
"software","software","Subtopic"
"web","web","Subtopic"
"cloud","cloud","Subtopic"
"aws","aws","Subtopic"
"azure","azure","Subtopic"
"google","google","Subtopic"
"devops","devops","Subtopic"
"cybersecurity","cybersecurity","Subtopic"
"security","security","Subtopic"
"network","network","Subtopic"
"database","database","Subtopic"
"databases","databases","Subtopic"
"api","api","Subtopic"
"apis","apis","Subtopic"
"git","git","Subtopic"
"github","github","Subtopic"
"linux","linux","Subtopic"
"windows","windows","Subtopic"
"mobile","mobile","Subtopic"
"app","app","Subtopic"
"apps","apps","Subtopic"
"infrastructure","infrastructure","Subtopic"
"computing","computing","Subtopic"
"healthcare and medicine","healthcare and medicine","Main Topic"
"health","health","Subtopic"
"healthcare","healthcare","Subtopic"
"medical","medical","Subtopic"
"clinical","clinical","Subtopic"
"patient","patient","Subtopic"
"anatomy","anatomy","Subtopic"
"disease","disease","Subtopic"
"treatment","treatment","Subtopic"
"drug","drug","Subtopic"
"cancer","cancer","Subtopic"
"nursing","nursing","Subtopic"
"palliative","palliative","Subtopic"
"care","care","Subtopic"
"design and user experience","design and user experience","Main Topic"
"design","design","Subtopic"
"ux","ux","Subtopic"
"ui","ui","Subtopic"
"user","user","Subtopic"
"experience","experience","Subtopic"
"interface","interface","Subtopic"
"usability","usability","Subtopic"
"prototype","prototype","Subtopic"
"wireframe","wireframe","Subtopic"
"visual","visual","Subtopic"
"graphic","graphic","Subtopic"
"interactive","interactive","Subtopic"
"education and learning","education and learning","Main Topic"
"teaching","teaching","Subtopic"
"education","education","Subtopic"
"students","students","Subtopic"
"school","school","Subtopic"
"courses","courses","Subtopic"
"training","training","Subtopic"
"certification","certification","Subtopic"
"academic","academic","Subtopic"
"financial services","financial services","Main Topic"
"financial","financial","Subtopic"
"investment","investment","Subtopic"
"investing","investing","Subtopic"
"portfolio","portfolio","Subtopic"
"risk","risk","Subtopic"
"banking","banking","Subtopic"
"insurance","insurance","Subtopic"
"tax","tax","Subtopic"
"capital","capital","Subtopic"
"assets","assets","Subtopic"
"equity","equity","Subtopic"
"credit","credit","Subtopic"
"digital marketing","digital marketing","Main Topic"
"digital","digital","Subtopic"
"social","social","Subtopic"
"content","content","Subtopic"
"advertising","advertising","Subtopic"
"brand","brand","Subtopic"
"branding","branding","Subtopic"
"ecommerce","ecommerce","Subtopic"
"seo","seo","Subtopic"
"campaigns","campaigns","Subtopic"
"media","media","Subtopic"
"engineering and manufacturing","engineering and manufacturing","Main Topic"
"engineering","engineering","Subtopic"
"manufacturing","manufacturing","Subtopic"
"industrial","industrial","Subtopic"
"production","production","Subtopic"
"quality","quality","Subtopic"
"mechanical","mechanical","Subtopic"
"electrical","electrical","Subtopic"
"process","process","Subtopic"
"product","product","Subtopic"
"communication and soft skills","communication and soft skills","Main Topic"
"communication","communication","Subtopic"
"presentation","presentation","Subtopic"
"writing","writing","Subtopic"
"speaking","speaking","Subtopic"
"negotiation","negotiation","Subtopic"
"conflict","conflict","Subtopic"
"resolution","resolution","Subtopic"
"teamwork","teamwork","Subtopic"
"interpersonal","interpersonal","Subtopic"
"capstone","capstone","Unmapped"
"case","case","Unmapped"
"lab","lab","Unmapped"
"introduction","introduction","Unmapped"
"advanced","advanced","Unmapped"
"foundation","foundation","Unmapped"
"fundamentals","fundamentals","Unmapped"
"practitioner","practitioner","Unmapped"
"specialist","specialist","Unmapped"
"professional","professional","Unmapped"
"manager","manager","Unmapped"
"engineer","engineer","Unmapped"
"scientist","scientist","Unmapped"
"analyst","analyst","Unmapped"
"developer","developer","Unmapped"
"consultant","consultant","Unmapped"
"exam","exam","Unmapped"
"assessment","assessment","Unmapped"
"review","review","Unmapped"
"test","test","Unmapped"
"assignment","assignment","Unmapped"
"milestone","milestone","Unmapped"
"module","module","Unmapped"
