"Id","Label","Type"
"ai for medical diagnosis","ai for medical diagnosis","Main Topic"
"ai","ai","Subtopic"
"medical","medical","Subtopic"
"diagnostic","diagnostic","Subtopic"
"imaging","imaging","Subtopic"
"clinical","clinical","Subtopic"
"healthcare","healthcare","Subtopic"
"advanced machine learning algorithms","advanced machine learning algorithms","Main Topic"
"machine","machine","Subtopic"
"learning","learning","Subtopic"
"algorithms","algorithms","Subtopic"
"neural","neural","Subtopic"
"deep","deep","Subtopic"
"supervised","supervised","Subtopic"
"classification","classification","Subtopic"
"data analysis and visualization foundations","data analysis and visualization foundations","Main Topic"
"data","data","Subtopic"
"analytics","analytics","Subtopic"
"visualization","visualization","Subtopic"
"python","python","Subtopic"
"sql","sql","Subtopic"
"statistics","statistics","Subtopic"
"exploratory","exploratory","Subtopic"
"cybersecurity management and compliance","cybersecurity management and compliance","Main Topic"
"cybersecurity","cybersecurity","Subtopic"
"security","security","Subtopic"
"risk","risk","Subtopic"
"threats","threats","Subtopic"
"compliance","compliance","Subtopic"
"network","network","Subtopic"
"encryption","encryption","Subtopic"
"accounting principles of financial accounting","accounting principles of financial accounting","Main Topic"
"accounting","accounting","Subtopic"
"financial","financial","Subtopic"
"assets","assets","Subtopic"
"liabilities","liabilities","Subtopic"
"cost","cost","Subtopic"
"tax","tax","Subtopic"
"compensation","compensation","Subtopic"
"agile project management","agile project management","Main Topic"
"agile","agile","Subtopic"
"project","project","Subtopic"
"management","management","Subtopic"
"team","team","Subtopic"
"scrum","scrum","Subtopic"
"devops","devops","Subtopic"
"iteration","iteration","Subtopic"
"digital marketing strategy and planning","digital marketing strategy and planning","Main Topic"
"digital","digital","Subtopic"
"marketing","marketing","Subtopic"
"social","social","Subtopic"
"content","content","Subtopic"
"seo","seo","Subtopic"
"campaigns","campaigns","Subtopic"
"cloud-native development with openshift and kubernetes","cloud-native development with openshift and kubernetes","Main Topic"
"cloud","cloud","Subtopic"
"aws","aws","Subtopic"
"azure","azure","Subtopic"
"docker","docker","Subtopic"
"kubernetes","kubernetes","Subtopic"
"automation","automation","Subtopic"
"healthcare data security privacy and compliance","healthcare data security privacy and compliance","Main Topic"
"patient","patient","Subtopic"
"privacy","privacy","Subtopic"
"safety","safety","Subtopic"
"supply chain management and analytics","supply chain management and analytics","Main Topic"
"supply","supply","Subtopic"
"chain","chain","Subtopic"
"logistics","logistics","Subtopic"
"inventory","inventory","Subtopic"
"forecasting","forecasting","Subtopic"
"optimization","optimization","Subtopic"
"able","able","Unmapped"
"bonus","bonus","Unmapped"
"fascinating","fascinating","Unmapped"
"eye","eye","Unmapped"
"dig","dig","Unmapped"
"draft","draft","Unmapped"
"war","war","Unmapped"
"warm","warm","Unmapped"
"zn","zn","Unmapped"
"ni","ni","Unmapped"
