"Id","Label","Type"
"accounting analysis i measurement and disclosure of assets","accounting analysis i measurement and disclosure of assets","Main Topic"
"accounting","accounting","Subtopic"
"asset","asset","Subtopic"
"advanced data visualization with tableau","advanced data visualization with tableau","Main Topic"
"visualization","visualization","Subtopic"
"tableau","tableau","Subtopic"
"ai for medicine","ai for medicine","Main Topic"
"ai","ai","Subtopic"
"medicine","medicine","Subtopic"
"android app development","android app development","Main Topic"
"android","android","Subtopic"
"app","app","Subtopic"
"development","development","Subtopic"
"big data modeling and management systems","big data modeling and management systems","Main Topic"
"big","big","Subtopic"
"data","data","Subtopic"
"modeling","modeling","Subtopic"
"systems","systems","Subtopic"
"cloud data engineering","cloud data engineering","Main Topic"
"cloud","cloud","Subtopic"
"engineering","engineering","Subtopic"
"deep learning","deep learning","Main Topic"
"deep","deep","Subtopic"
"learning","learning","Subtopic"
"introduction to algorithms","introduction to algorithms","Main Topic"
"algorithms","algorithms","Subtopic"
"introduction","introduction","Subtopic"
"machine learning","machine learning","Main Topic"
"machine","machine","Subtopic"
"marketing analytics foundation","marketing analytics foundation","Main Topic"
"marketing","marketing","Subtopic"
"analytics","analytics","Subtopic"
"medical terminology","medical terminology","Main Topic"
"medical","medical","Subtopic"
"terminology","terminology","Subtopic"
"python for everybody","python for everybody","Main Topic"
"python","python","Subtopic"
"reinforcement learning","reinforcement learning","Main Topic"
"reinforcement","reinforcement","Subtopic"
"sql for data science","sql for data science","Main Topic"
"sql","sql","Subtopic"
"science","science","Subtopic"
"web design for everybody basics of web development coding","web design for everybody basics of web development coding","Main Topic"
"web","web","Subtopic"
"design","design","Subtopic"
"coding","coding","Subtopic"
"able","able","Unmapped"
"activation","activation","Unmapped"
"ad","ad","Unmapped"
"adaptive","adaptive","Unmapped"
"ads","ads","Unmapped"
"alignment","alignment","Unmapped"
"amazon","amazon","Unmapped"
"american","american","Unmapped"
"analog","analog","Unmapped"
"analyst","analyst","Unmapped"
"analysts","analysts","Unmapped"
"anatomy","anatomy","Unmapped"
"animation","animation","Unmapped"
"annual","annual","Unmapped"
"apache","apache","Unmapped"
"apis","apis","Unmapped"
"applications","applications","Unmapped"
"apps","apps","Unmapped"
"arguments","arguments","Unmapped"
"artificial","artificial","Unmapped"
"assessment","assessment","Unmapped"
"audio","audio","Unmapped"
"auto","auto","Unmapped"
"automated","automated","Unmapped"
"automation","automation","Unmapped"
"autonomous","autonomous","Unmapped"
"aws","aws","Unmapped"
"azure","azure","Unmapped"
"balance","balance","Unmapped"
"bb","bb","Unmapped"
"benefits","benefits","Unmapped"
"bias","bias","Unmapped"
"biases","biases","Unmapped"
"blockchain","blockchain","Unmapped"
"board","board","Unmapped"
"boards","boards","Unmapped"
"body","body","Unmapped"
"bonus","bonus","Unmapped"
"brand","brand","Unmapped"
"branding","branding","Unmapped"
"brands","brands","Unmapped"
"building","building","Unmapped"
"buyers","buyers","Unmapped"
"camera","camera","Unmapped"
"campaigns","campaigns","Unmapped"
"cancer","cancer","Unmapped"
"capital","capital","Unmapped"
"capstone","capstone","Unmapped"
"care","care","Unmapped"
"cars","cars","Unmapped"
"case","case","Unmapped"
"cases","cases","Unmapped"
"cell","cell","Unmapped"
"cells","cells","Unmapped"
"center","center","Unmapped"
"certification","certification","Unmapped"
"chain","chain","Unmapped"
"change","change","Unmapped"
"channels","channels","Unmapped"
"chapter","chapter","Unmapped"
"characters","characters","Unmapped"
"chart","chart","Unmapped"
"charts","charts","Unmapped"
"check","check","Unmapped"
"children","children","Unmapped"
"chronic","chronic","Unmapped"
"class","class","Unmapped"
"classes","classes","Unmapped"
"classification","classification","Unmapped"
"classmates","classmates","Unmapped"
"clients","clients","Unmapped"
"climate","climate","Unmapped"
"clinical","clinical","Unmapped"
"cluster","cluster","Unmapped"
"clustering","clustering","Unmapped"
"code","code","Unmapped"
"collection","collection","Unmapped"
"color","color","Unmapped"
"commands","commands","Unmapped"
