"Id","Label","Type"
"Accounting and Finance","Accounting and Finance","Main Topic"
"Accounting Analysis I: Measurement and Disclosure of Assets","Accounting Analysis I: Measurement and Disclosure of Assets","Subtopic"
"Accounting Analysis II: Accounting for Liabilities and Equity","Accounting Analysis II: Accounting for Liabilities and Equity","Subtopic"
"Accounting Principles of Financial Accounting","Accounting Principles of Financial Accounting","Subtopic"
"Assets in Accounting","Assets in Accounting","Subtopic"
"Cost Accounting","Cost Accounting","Subtopic"
"Corporate Finance Essentials","Corporate Finance Essentials","Subtopic"
"Corporate Finance I: Measuring and Promoting Value Creation","Corporate Finance I: Measuring and Promoting Value Creation","Subtopic"
"Corporate Finance II: Financing Investments and Managing Risk","Corporate Finance II: Financing Investments and Managing Risk","Subtopic"
"Artificial Intelligence and Machine Learning","Artificial Intelligence and Machine Learning","Main Topic"
"Artificial Intelligence Algorithms, Models, and Limitations","Artificial Intelligence Algorithms, Models, and Limitations","Subtopic"
"Artificial Intelligence and Legal Issues","Artificial Intelligence and Legal Issues","Subtopic"
"Artificial Intelligence Data Fairness and Bias","Artificial Intelligence Data Fairness and Bias","Subtopic"
"Artificial Intelligence Ethics in Action","Artificial Intelligence Ethics in Action","Subtopic"
"Artificial Intelligence on Microsoft Azure","Artificial Intelligence on Microsoft Azure","Subtopic"
"Machine Learning","Machine Learning","Subtopic"
"Advanced Machine Learning Algorithms","Advanced Machine Learning Algorithms","Subtopic"
"Advanced Machine Learning on Google Cloud","Advanced Machine Learning on Google Cloud","Subtopic"
"Business and Management","Business and Management","Main Topic"
"Business Analysis Fundamentals","Business Analysis Fundamentals","Subtopic"
"Business Analytics","Business Analytics","Subtopic"
"Business Strategy","Business Strategy","Subtopic"
"Business Strategy in Practice Project-Centered","Business Strategy in Practice Project-Centered","Subtopic"
"Competitive Strategy","Competitive Strategy","Subtopic"
"Competitive Strategy and Organization Design","Competitive Strategy and Organization Design","Subtopic"
"Cloud Computing","Cloud Computing","Main Topic"
"Cloud Computing Foundations","Cloud Computing Foundations","Subtopic"
"Cloud Computing Law","Cloud Computing Law","Subtopic"
"Cloud Computing Law: Data Protection and Cybersecurity","Cloud Computing Law: Data Protection and Cybersecurity","Subtopic"
"Cloud Data Engineering","Cloud Data Engineering","Subtopic"
"Cloud Machine Learning Engineering and MLOps","Cloud Machine Learning Engineering and MLOps","Subtopic"
"Computer Science and Programming","Computer Science and Programming","Main Topic"
"C Programming: Getting Started","C Programming: Getting Started","Subtopic"
"C Programming: Modular Programming and Memory Management","C Programming: Modular Programming and Memory Management","Subtopic"
"C Programming: Pointers and Memory Management","C Programming: Pointers and Memory Management","Subtopic"
"Algorithms","Algorithms","Subtopic"
"Data Structures","Data Structures","Subtopic"
"Computer Networks and Network Security","Computer Networks and Network Security","Subtopic"
"Data Science and Analytics","Data Science and Analytics","Main Topic"
"Data Analysis and Visualization","Data Analysis and Visualization","Subtopic"
"Data Science","Data Science","Subtopic"
"Data Science Capstone","Data Science Capstone","Subtopic"
"Data Visualization","Data Visualization","Subtopic"
"Statistical Analysis","Statistical Analysis","Subtopic"
"Healthcare and Medical Sciences","Healthcare and Medical Sciences","Main Topic"
"Anatomy","Anatomy","Subtopic"
"Bioinformatics","Bioinformatics","Subtopic"
"Clinical Trials Analysis, Monitoring, and Presentation","Clinical Trials Analysis, Monitoring, and Presentation","Subtopic"
"Health Informatics","Health Informatics","Subtopic"
"Marketing and Sales","Marketing and Sales","Main Topic"
"Marketing Analytics","Marketing Analytics","Subtopic"
"Marketing Strategy","Marketing Strategy","Subtopic"
"Sales Force Design","Sales Force Design","Subtopic"
"Customer Analytics","Customer Analytics","Subtopic"
"Aromatherapy: Clinical Use of Essential Oils","Aromatherapy: Clinical Use of Essential Oils","Unmapped"
"Becoming an EMT","Becoming an EMT","Unmapped"
"Construction Cost Estimating and Cost Control","Construction Cost Estimating and Cost Control","Unmapped"
"Creative Writing: The Craft of Character","Creative Writing: The Craft of Character","Unmapped"
"Creative Writing: The Craft of Plot","Creative Writing: The Craft of Plot","Unmapped"
"Creative Writing: The Craft of Setting and Description","Creative Writing: The Craft of Setting and Description","Unmapped"
"Creative Writing: The Craft of Style","Creative Writing: The Craft of Style","Unmapped"
"Culinary Arts","Culinary Arts","Unmapped"
