,prog_title,org,cert_type,enrolled,num_courses,rating,num_reviews,difficulty,prog_lo_description,prog_lo_skills,prog_description,course_title_description_skills,url
0,ISC2 Systems Security Certified Practitioner (SSCP),ISC2,Specialization,"22,401",7,4.8,973,Beginner,"Implement, monitor and administer an organization’s IT infrastructure",Security Engineering;Network Security;Leadership and Management;Risk Management;Strategy and Operations;Cloud Computing;Cyberattacks;Operations Management;Algorithms,"Pursue better IT security job opportunities and prove knowledge with confidence. The SSCP Professional Training Certificate shows employers you have the IT security foundation to defend against cyber attacks – and puts you on a clear path to earning SSCP certification.;Upon completing the SSCP Professional Certificate, you will:;Complete seven courses of preparing you to sit for the Systems Security Certified Practitioner (SSCP) certification exam Opens in a new tabas outlined below.;Course 1 - Security Concepts and Practices;Course 2 - Access Controls;Course 3 - Risk Identification, Monitoring, and Analysis;Course 4 - Incident Response and Recovery;Course 5 - Cryptography;Course 6 - Network and Communications Security;Course 7 - Systems and Application Security;Receive a certificate of program completion.;Understand how to implement, monitor and administer an organization’s IT infrastructure in accordance with security policies and procedures that ensure data confidentiality, integrity and availability.;Applied Learning Project;Each course includes a final assessment and knowledge checks that will require students to put into practice the knowledge they have gained throughout each course. Successful completion of assessments will require the basic understanding of the topics covered and the ability to relate those topics to the real world. ","Security Concepts and Practices|Course 1 - Security Concepts and Practices;This is the first course under the specialization SSCP. In this course, we will focus on the core aspects of security concepts and practice, starting with the importance of codes of ethics. We will then cover the basic principles of information security and move on to describe security controls, their implementation, maintenance, and assessment. We will also address the identification of corporate assets and the change management life cycle. We will then explain the importance of awareness and training and conclude with an exploration of physical security operations. Course 1 Learning Objectives After completing this course, the participant will be able to: - Recall the ISC2 Code of Ethics. - Explain the importance of an organizational code of ethics in the cybersecurity profession. - Compare the security concepts of confidentiality, integrity, and availability. - Apply accountability in the implementation of certain data protection controls. - Explain the concept of non-repudiation. - Discuss the concept of least privilege. - Indicate the importance of segregation of duties. - Differentiate technical, physical, and administrative security controls. - Relate security controls to considerations of assessing compliance requirements and organizational needs. - Indicate the importance of periodic audit and review of security controls. - Categorize various control types or technologies based on their different roles as part of an overall security structure and posture. - Summarize the security of assets all through the stages of their life cycle. - Examine operational requirements of change management. - Categorize security education and awareness strategies. - Define measurements for gauging the effectiveness of a security education and awareness program. - Indicate strategies that security professionals can use to collaborate with physical security operations. Who Should Take This Course: Beginners Experience Required: No prior experience required|security concepts||Access Control|Course 2 - Access Controls;This is the second course under the specialization SSCP. In this course, we will examine the business of controlling how our systems, services, resources and data can be Safely accessed only by those authorized to do so. We will discuss authentication methods, trust, the identity management life cycle and access control models. Course 2 Learning Objectives After completing this course, the participant will be able to: - Categorize identity and access management implementation authentication methods. - Discuss the importance of trust from a security standpoint. - Compare levels of trust among various relationships and internetwork architectures. - Explain the implications of trust among third-party connections. - Differentiate among the activities of the identity management life cycle. - Categorize various access control models. - Define the elements, methods, and processes used when administering access control models. Who Should Take This Course: Beginners Experience Required: No prior experience required|Network Monitoring;Network Analysis;Risk Identification||Risk Identification, Monitoring, and Analysis|Course 3 - Risk Identification, Monitoring and Analysis;This is the third course under the specialization SSCP In this course, we will explore how to manage the risks related to information systems. It is time to bring these ideas together in a context of continuous maturity modeling, measuring, and monitoring, which we will see is focused on the here and now. Risk alignment works best at the strategic, long-term level of planning; risk maturation, by contrast, can be most effective when considered in the day-to-day of business operations. This is sometimes called operationalizing the approach to risk management and maturation. Course 3 Learning Objectives After completing this course, the participant will be able to: - Identify common risks and vulnerabilities. - Describe risk management concepts. - Recognize risk management frameworks. - Provide examples of appropriate risk tolerance. - Provide examples of appropriate risk treatment. - Identify risks of noncompliance with laws and regulations. - Identify appropriate methods for risk management frameworks implementation. - Indicate the range and scope of risk review. - Identify the components of risk review. - Describe vulnerability assessment activities used to examine all aspects of network and system security. - Review the steps for monitoring, incident detection, and data loss prevention. - Classify the use of tools that collect information about the IT environment to better examine the organization’s security posture. - Identify events of interest to focus on those that may be part of an attack or intrusion. - Select methods for managing log files. - Describe tools and methods for analyzing the results of monitoring efforts. - Identify communication requirements when documenting and reporting the results of monitoring security platforms. Who Should Take This Course: Beginners Experience Required: No prior experience required|Cyber Incident Response;Security Recovery||Incident Response and Recovery|Course 4 - Incident Response and Recovery;This is the fourth course under the specialization SSCP In this course, we will focus on incident response and recovery. We will explore the incident life cycle as defined by NIST and continue with a deeper look at supporting forensic investigations. We will also extend these ideas and concepts around the theme of business continuity and disaster recovery. Course 4 Learning Objectives After completing this course, the participant will be able to: - Identify the elements of an incident response policy and members of the incident response team (IRT). - Evaluate the security professional’s role in supporting forensic investigations. - Explain how the security professional supports activities of business continuity and disaster recovery planning. Who Should Take This Course: Beginners Experience Required: No prior experience required|Access Controls||Cryptography|Course 5 - Cryptography;This is the fifth course under the specialization SSCP. In this course, we will explore the field of cryptography, including public-key infrastructures (PKIs), certificates, and digital signing. Here we enter the realm of confidentiality, integrity, and availability, since we use cryptography to protect data from unauthorized disclosure and improper modification and use encryption to regulate the ability of users to log in to systems and applications. Course 5 Learning Objectives After completing this course, the participant will be able to: - Recognize the impacts of cryptography on confidentiality, integrity, and authenticity. - Determine the requirements for cryptography when handling sensitive data. - Identify regulatory and industry best practices in cryptography. - Define cryptography entropy. - Differentiate common cryptographic techniques used to enhance the security of sensitive data including hashing, salting, symmetric/asymmetric encryption, and elliptic curve cryptography. - Identify the features and requirements of nonrepudiation. - Compare the strength of different encryption algorithms and keys. - Describe the process of identifying and addressing cryptographic attacks. - Define the features of and the implementation process of secure services and protocols. - Discuss common use cases for secure services and protocols. - Explain limitations and vulnerabilities in the implementation of secure protocols. - Summarize fundamental key management concepts. - Describe the features of the Web of Trust (WoT) in relation to cryptographic protocols. Who Should Take This Course: Beginners Experience Required: No prior experience required|Communications Security;Communications Security (COMSEC);Network Security||Network and Communications Security|Course 6 - Network and Communications Security;This is the sixth course under the specialization SSCP. This course includes an orientation to the network neighborhood via the OSI 7-Layer and TCP/IP models in the context of internetworking and communications. It also probes each of the seven layers of this combined protocol stack, introducing the key technologies at each layer and their normal uses. There is also information on various protocols that run on top of this architecture, as well as attack and defensive strategies and tactics. Additionally, discussed in this course is how to manage network security and secure wireless communications. Course 6 Learning Objectives After completing this course, the participant will be able to: - Recognize layers of the OSI model, their functions and attacks present at each layer, and identify commonly used ports and protocols. - Select appropriate security controls for various network attacks. - Describe the tools used for network access control. - Summarize best practices for establishing a secure networked environment. - Understand how to configure and operate security devices such as firewalls and proxies. - Summarize the types of telecommunications and network access controls. Who Should Take This Course: Beginners Experience Required: No prior experience required|Public Key Cryptography Standards (PKCS)||Systems and Application Security|Course 7 - Systems and Application Security;This is the seventh course under the specialization SSCP. This course discusses two major changes in recent years to how we use our data: going mobile and using the cloud. First, we use our data on the go by means of data services provided to our mobile phones, Wi-Fi, and other devices. Second, so many of the enhanced functions we take for granted in our daily personal and professional lives are made possible by cloud services, where our data is stored or processed. Course 7 Learning Objectives After completing this course, the participant will be able to: - Classify different types of malware. - Determine how to implement malware countermeasures. - Identify various types of malicious activities. - Develop strategies for mitigating malicious activities. - Describe various social engineering methods used by attackers. - Explain the role of behavior analytics technologies in detecting and mitigating threats. - Explain the role and functionality of host-based intrusion prevention system (HIPS), host-based intrusion detection system (HIDS), and host-based firewalls. - Evaluate the benefits of application whitelisting in endpoint device security. - Explain the concept of endpoint encryption and its role in endpoint security. - Describe the role and functionality of Trusted Platform Module (TPM) technology in providing hardware-based security features. - Identify the steps in implementing secure browsing practices using digital certificates and secure communication protocols. - Explain the concept of endpoint detection and response (EDR) and its role in providing real-time monitoring, detection, investigation, and response capabilities to identify and mitigate advanced threats and security incidents on endpoint devices. - Identify provisioning techniques for mobile devices. - Explain the concept of containerization and how it contributes to effective mobile device management. - Explain how encryption contributes to effective mobile device management. - Describe the process of Mobile Application Management (MAM) to effectively manage the life cycle of mobile applications. - Distinguish among public, private, hybrid, and community deployment models in cloud security. - Distinguish among various service models and their impact on cloud security practices. - Describe virtualization technologies and their role in maintaining cloud security. - Identify legal and regulatory concerns related to cloud security. - Determine strategies to implement data storage, processing, and transmission while maintaining cloud security. - Explain the requirements and considerations associated with third-party services and outsourcing in cloud storage. - Explain the concept of the shared responsibility model in cloud storage. - Identify steps to manage and secure hypervisor environments. - Explain how to deploy, configure, and maintain virtual appliances within virtualized environments. - Determine the process for managing containerized environments. - Describe the best practices of storage management in virtualized environments. - Develop strategies for ensuring business continuity and resilience in virtualized environments. - Analyze potential threats and attacks targeting virtual environments. Who Should Take This Course: Beginners Experience Required: No prior experience required|Information Systems Security;Information Security (INFOSEC);Application Security",https://www.coursera.org/specializations/sscp-training
1,.NET FullStack Developer Specialization,Board Infinity ,Specialization,"11,753",3,4.1,259,Intermediate,"Master .NET full stack web dev: from .NET core basics to advanced web application creation using .NET technologies.;Dive into React frontend development: from foundational HTML & CSS to dynamic UI design using JavaScript and React's core concepts.;Explore backend with ASP.NET: Understand ASP.NET Core architecture, MVC patterns, and build RESTful web APIs with integrated front-end applications.;Acquire robust full-stack skills: Ensuring proficiency in creating scalable, high-quality web applications tailored to modern business needs.",Model–View–Controller (MVC);HTML;React (Web Framework);Web Development;Cascading Style Sheets (CSS);asp.net;C# programming;Web API;API Integration;RESTful APIs;JavaScript;Web Application;Front And Back Ends;MVC;Computer Programming;.NET Core;C Sharp (C#) (Programming Language);ASP.NET Fundamentals;.NET Architecture,"Develop the proficiency required to design and develop comprehensive, scalable, and high-performing applications with the .NET framework via this in-depth specialization. The curriculum is segmented into three intensive courses: ;.NET Full Stack Foundation: ;Understand the basics of .NET and its significant components.;Harnessing the C# programming language, mastering everything from basic syntax to complex structures.;Constructing both web and desktop applications with an unparalleled understanding of .NET's capacities.;Frontend Development using React: ;Designing web pages employing the core principles of HTML and CSS.;Utilizing JavaScript for dynamic and interactive functionalities, covering everything from basic variables to complex functions.;Constructing dynamic and interactive UIs using React's core concepts such as components, state, props, and JSX.;Backend Development using ASP.NET:;Master the ASP.NET Core framework, designed for modern web applications.;Explore ASP.NET MVC and craft web applications following MVC patterns.;Delve into ASP.NET Web API to design and implement RESTful web services.;By the end, you will be proficient in leveraging .NET technologies, designing web applications using ASP.NET with React integrated on the front end, and building RESTful web APIs using ASP.NET Core. Equip yourself to construct scalable, high-performance web applications that align with modern business demands.;Applied Learning Project;Our program is highly focused on practical, hands-on learning. We understand that developers learn best by doing, so our courses and modules are designed to help learners apply what they learn in real-world scenarios. Our instructors are experienced developers who have worked on numerous Frontend projects and are well-equipped to guide learners through the practical aspects of Frontend Development & Backend with .Net Technologies.",".Net Full Stack Foundation|Understand .NET framework: Master ASP.NET for dynamic web apps, emphasizing web forms, server controls, and data-driven techniques.;Proficiency in C#: Learn data types, variables, operators, and control program flow using conditionals and loops efficiently.;Advanced C# concepts: Master object-oriented principles like inheritance, polymorphism; and techniques like extension methods.;Delve into advanced exception handling techniques, create custom exceptions, and seamlessly implement asynchronous C# code.|Computer Programming;.NET Core;C Sharp (C#) (Programming Language);ASP.NET Fundamentals;.NET Architecture||Frontend Development using React|Welcome to the Frontend Development using React course! In this program, you will learn the fundamentals of frontend development and how to build web applications using the React library.;The course is best suitable for people with familiarity with web development. The first module, Introduction to HTML & CSS, will introduce you to the basics of HTML and CSS, which are the building blocks of web development. You will learn how to structure content with HTML and apply styles to your web pages with CSS. The second module, Introduction to JavaScript Programming, will teach you the fundamentals of JavaScript, the programming language that powers interactive web applications. You will learn about variables, data types, control structures, functions, and more. In the third module, React for Frontend Development, you will dive into React, a popular JavaScript library for building user interfaces. You will learn how to set up a React project, create components, and manage state in your application. By the end of this course, you will have a solid understanding of frontend development principles and how to use React to build interactive and dynamic web applications.|HTML;React (Web Framework);JavaScript;Cascading Style Sheets (CSS)||Backend Development for .Net Full Stack|Immerse yourself in the intricate universe of .NET backend development with this comprehensive course tailored for individuals aiming to master the ASP.NET ecosystem. This three-module course is perfect for both beginners in .NET and those with some frontend experience, eager to expand their backend expertise.;In the first module, ASP.NET Core, participants are introduced to ASP.NET Core's architecture and tools, gaining hands-on exposure to modern web application development. In the second module, ASP.NET MVC, attendees will explore the MVC (Model-View-Controller) architecture, understanding its foundational pillars. Practical evaluations will further solidify their knowledge, ensuring a grasp of its workflow and components. The third module, ASP.NET Web API, directs focus towards RESTful web services using ASP.NET. From understanding the essence of REST and HTTP protocol, attendees will learn to design and implement robust web APIs with efficiency. By the conclusion of this course, attendees will possess a comprehensive grasp of backend development in the .NET framework. They will be adept at creating dynamic web applications, designing robust APIs, and ensuring that their applications are both secure and scalable.|Web Application;Front And Back Ends;asp.net;Web API;MVC",https://www.coursera.org/specializations/dot-net-fullstack
2,AI For Business Specialization,University of Pennsylvania,Specialization,"39,842",4,4.7,1,Beginner,,Machine Learning;Machine Learning Algorithms;Applied Machine Learning;Data Analysis;Algorithms;Human Learning;Leadership and Management;Business Analysis;Decision Making;Human Resources;People Analysis;Artificial Neural Networks,"This specialization will provide learners with the fundamentals of using Big Data, Artificial Intelligence, and Machine Learning and the various areas in which you can deploy them to support your business. You'll cover ethics and risks of AI, designing governance frameworks to fairly apply AI, and also cover people management in the fair design of HR functions within Machine Learning. You'll also learn effective marketing strategies using data analytics, and how personalization can enhance and prolong the customer journey and lifecycle. Finally, you will hear from industry leaders who will provide you with insights into how AI and Big Data are revolutionizing the way we do business.;By the end of this specialization, you will be able to implement ethical AI strategies for people management and have a better understanding of the relationship between data analytics, artificial intelligence, and machine learning. You will leave this specialization with insight into how these tools can shape and influence how you manage your business. ;For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource,"". You can find Professor Hosanagar's book on his personal websiteOpens in a new tab or at Penguin RandomhouseOpens in a new tab.;;Applied Learning Project;Each course module in this Specialization culminates in an assessment, with two courses including peer-review exercises. These assessments are designed to check learners' knowledge and to provide an opportunity for learners to apply course concepts such as data analytics, machine learning tools, and people management best practices with AI algorithms.;The assessments will be cumulative and cover the application of artificial intelligence, ethical governance rules, Big Data management, the customer journey, fraud prevention, and personalization technology in order to develop and implement a successful AI strategy for your business.","AI Fundamentals for Non-Data Scientists|In this course, you will go in-depth to discover how Machine Learning is used to handle and interpret Big Data. You will get a detailed look at the various ways and methods to create algorithms to incorporate into your business with such tools as Teachable Machine and TensorFlow. You will also learn different ML methods, Deep Learning, as well as the limitations but also how to drive accuracy and use the best training data for your algorithms. You will then explore GANs and VAEs, using your newfound knowledge to engage with AutoML to help you start building algorithms that work to suit your needs. You will also see exclusive interviews with industry leaders, who manage Big Data for companies such as McDonald's and Visa. By the end of this course, you will have learned different ways to code, including how to use no-code tools, understand Deep Learning, how to measure and review errors in your algorithms, and how to use Big Data to not only maintain customer privacy but also how to use this data to develop different strategies that will drive your business.|||AI Applications in Marketing and Finance|In this course, you will learn about AI-powered applications that can enhance the customer journey and extend the customer lifecycle. You will learn how this AI-powered data can enable you to analyze consumer habits and maximize their potential to target your marketing to the right people. You will also learn about fraud, credit risks, and how AI applications can also help you combat the ever-challenging landscape of protecting consumer data. You will also learn methods to utilize supervised and unsupervised machine learning to enhance your fraud detection methods. You will also hear from leading industry experts in the world of data analytics, marketing, and fraud prevention. By the end of this course, you will have a substantial understanding of the role AI and Machine Learning play when it comes to consumer habits, and how we are able to interact and analyze information to increase deep learning potential for your business.|||AI Applications in People Management|In this course, you will learn about Artificial Intelligence and Machine Learning as it applies to HR Management. You will explore concepts related to the role of data in machine learning, AI application, limitations of using data in HR decisions, and how bias can be mitigated using blockchain technology. Machine learning powers are becoming faster and more streamlined, and you will gain firsthand knowledge of how to use current and emerging technology to manage the entire employee lifecycle. Through study and analysis, you will learn how to sift through tremendous volumes of data to identify patterns and make predictions that will be in the best interest of your business. By the end of this course, you'll be able to identify how you can incorporate AI to streamline all HR functions and how to work with data to take advantage of the power of machine learning.|||AI Strategy and Governance|In this course, you will discover AI and the strategies that are used in transforming business in order to gain a competitive advantage. You will explore the multitude of uses for AI in an enterprise setting and the tools that are available to lower the barriers to AI use. You will get a closer look at the purpose, function, and use-cases for explainable AI. This course will also provide you with the tools to build responsible AI governance algorithms as faculty dive into the large datasets that you can expect to see in an enterprise setting and how that affects the business on a greater scale. Finally, you will examine AI in the organizational structure, how AI is playing a crucial role in change management, and the risks with AI processes. By the end of this course, you will learn different strategies to recognize biases that exist within data, how to ensure that you maintain and build trust with user data and privacy, and what it takes to construct a responsible governance strategy. For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource for more extensive information on topics covered in this module.|",https://www.coursera.org/specializations/ai-for-business-wharton
3,AI Foundations for Everyone Specialization,IBM,Specialization,"44,046",4,4.7,3,Beginner,,Cloud Computing;Human Computer Interaction;Human Learning;Machine Learning;Artificial Neural Networks;Deep Learning;Machine Learning Algorithms;Computer Programming,"Artificial Intelligence (AI) is no longer science fiction. It is rapidly permeating all industries and having a profound impact on virtually every aspect of our existence. Whether you are an executive, a leader, an industry professional, a researcher, or a student - understanding AI, its impact and transformative potential for your organization and our society is of paramount importance. ; This specialization is designed for those with little or no background in AI, whether you have technology background or not, and does not require any programming skills. It is designed to give you a firm understanding of what is AI, its applications and use cases across various industries. You will become acquainted with terms like Machine Learning, Deep Learning and Neural Networks. ;Furthermore, it will familiarize you with IBM Watson AI services that enable any business to quickly and easily employ pre-built AI smarts to their products and solutions. You will also learn about creating intelligent virtual assistants and how they can be leveraged in different scenarios.; By the end of this specialization, learners will have had hands-on interactions with several AI environments and applications, and have built and deployed an AI enabled chatbot on a website – without any coding. ;Applied Learning Project;Learners will perform several no-code hands-on exercises in each of the  three courses. At the end of the last course, learners would have developed,  tested, and deployed a Watson AI powered customer service chatbot on a website to delight their clients.","Introduction to Artificial Intelligence (AI)|Describe what AI is and explain the core concepts related to AI;Demonstrate how AI applications and use cases can transform our lives and our work;Recognize the potential and impact of AI to transform businesses and careers;Describe the issues, limitations, and ethical concerns surrounding AI|Generative AI;AI ethics;Natural Language Processing;Machine Learning;Artificial Intelligence||Generative AI: Introduction and Applications|Describe generative AI and distinguish it from discriminative AI.;Describe the capabilities of generative AI and its use cases in the real world.;Identify the applications of generative AI in different sectors and industries.;Explore common generative AI models and tools for text, code, image, audio, and video generation.|Artificial Intelligence (AI);ChatGPT;Large Language Models (LLM);Natural Language Generation;Generative AI||Generative AI: Prompt Engineering Basics|Explain the concept and relevance of prompt engineering in generative AI models.;Apply best practices for creating prompts and explore examples of impactful prompts.;Practice common prompt engineering techniques and approaches for writing effective prompts.;Explore commonly used tools for prompt engineering to aid with prompt engineering.|Artificial Intelligence (AI);Prompt Engineering;ChatGPT;prompt patterns;Generative AI||Building AI Powered Chatbots Without Programming|Explain the fundamentals of a chatbot, including its key features and the benefits of implementing chatbots in customer service.;Explain the role of action workflows used in a chatbot to enhance the customer experience.;Elaborate on the differences between decision trees and generative AI chatbots.;Evaluate the balance of control and flexibility in chatbot applications.|Customer Service;Chatbot Building",https://www.coursera.org/specializations/ai-foundations-for-everyone
4,AI Product Management Specialization,Duke University,Specialization,"40,831",3,4.7,636,Beginner,Identify when and how machine learning can applied to solve problems;Apply human-centered design practices to design AI product experiences that protect privacy and meet ethical standards;Lead machine learning projects using the data science process and best practices from industry,Machine Learning;Machine Learning Algorithms;Applied Machine Learning;Probability & Statistics;Regression;Data Analysis;Deep Learning,"Organizations in every industry are accelerating their use of artificial intelligence and machine learning to create innovative new products and systems.  This requires professionals across a range of functions, not just strictly within the data science and data engineering teams, to understand when and how AI can be applied, to speak the language of data and analytics, and to be capable of working in cross-functional teams on machine learning projects.;This Specialization provides a foundational understanding of how machine learning works and when and how it can be applied to solve problems.  Learners will build skills in applying the data science process and industry best practices to lead machine learning projects, and develop competency in designing human-centered AI products which ensure privacy and ethical standards. The courses in this Specialization focus on the intuition behind these technologies, with no programming required, and merge theory with practical information including best practices from industry.  Professionals and aspiring professionals from a diverse range of industries and functions, including product managers and product owners, engineering team leaders, executives, analysts and others will find this program valuable.   ;Applied Learning Project;Learners will implement three projects throughout the course of this Specialization:;1) In Course 1, you will complete a hands-on project where you will create a machine learning model to solve a simple problem (no coding necessary) and assess your model's performance.;2) In Course 2, you will identify and frame a problem of interest, design a machine learning system which can help solve it, and begin the development of a project plan.;3) In Course 3, you will perform a basic user experience design exercise for your ML-based solution and analyze the relevant ethical and privacy considerations of the project.","Machine Learning Foundations for Product Managers|In this first course of the AI Product Management Specialization offered by Duke University's Pratt School of Engineering, you will build a foundational understanding of what machine learning is, how it works and when and why it is applied. To successfully manage an AI team or product and work collaboratively with data scientists, software engineers, and customers you need to understand the basics of machine learning technology. This course provides a non-coding introduction to machine learning, with focus on the process of developing models, ML model evaluation and interpretation, and the intuition behind common ML and deep learning algorithms. The course will conclude with a hands-on project in which you will have a chance to train and optimize a machine learning model on a simple real-world problem.;At the conclusion of this course, you should be able to: 1) Explain how machine learning works and the types of machine learning 2) Describe the challenges of modeling and strategies to overcome them 3) Identify the primary algorithms used for common ML tasks and their use cases 4) Explain deep learning and its strengths and challenges relative to other forms of machine learning 5) Implement best practices in evaluating and interpreting ML models|Modeling;Predictive Analytics;Data Science;Artificial Neural Network;Machine Learning||Managing Machine Learning Projects|This second course of the AI Product Management Specialization by Duke University's Pratt School of Engineering focuses on the practical aspects of managing machine learning projects. The course walks through the keys steps of a ML project from how to identify good opportunities for ML through data collection, model building, deployment, and monitoring and maintenance of production systems. Participants will learn about the data science process and how to apply the process to organize ML efforts, as well as the key considerations and decisions in designing ML systems.;At the conclusion of this course, you should be able to: 1) Identify opportunities to apply ML to solve problems for users 2) Apply the data science process to organize ML projects 3) Evaluate the key technology decisions to make in ML system design 4) Lead ML projects from ideation through production using best practices|Modeling;Project Management;Machine Learning||Human Factors in AI|Identify and mitigate privacy and ethical risks in AI projects;Apply human-centered design practices to design successful AI product experiences;Build AI systems that augment human intelligence and inspire model trust in users|Machine Learning;Privacy;Design Thinking;Ethics",https://www.coursera.org/specializations/ai-product-management-duke
5,AI for Good Specialization,DeepLearning.AI,Specialization,"11,554",3,4.8,296,Beginner,"Master a step-by-step framework for the development of AI projects.;Explore real-world case studies related to public health, climate change, and disaster management.;Analyze data and build AI models for projects focused on air quality, wind energy, biodiversity monitoring, and disaster management.",Topic Model;Biodiversity Monitoring;Computer Vision;Time Series;Air Quality Monitoring;Damage Assessment;AI for Good project framework;Supervised Learning;Exploratory Data Analysis;Natural Language Processing;Jupyter notebooks;Wind Power Generation Modeling,"The AI for Good Specialization showcases how AI can be part of the solution when it comes to addressing some of the world’s biggest challenges in areas like public health, climate change, and disaster management.;In these courses, you’ll learn from instructor Robert Monarch, who has over 20 years of experience building AI products in industry and working at the intersection of AI and public health and disaster management. Robert is also the author of Human-in-the-Loop Machine LearningOpens in a new tab, a book focused on human-centered AI applications. ;Throughout the courses, you'll hear from experts working on AI for Good initiatives aimed at addressing social and environmental issues. By combining human and machine intelligence, real-world datasets, best practices around data privacy, and ethical considerations, you’ll develop the knowledge and fundamental skills to tackle your own AI for good projects. ;These courses were built in partnership with researchers at the Microsoft AI for Good LabOpens in a new tab who offered their subject matter expertise throughout the development of the program. We are also grateful to Sasha LuccioniOpens in a new tab, Climate Lead and Researcher at HuggingFace for her help in forming the high-level program structure, outlining what kinds of topics and case studies would work best for these courses, and recruiting many of the experts that either appear in guest speaker videos or have contributed behind the scenes. ;Applied Learning Project;Use neural networks and other AI techniques to estimate air quality throughout the city of Bogotá, Colombia.;Develop an AI model to make wind power generation more predictable by providing forecasts 24 hours into the future.;Apply computer vision techniques to detect and classify animals for the purpose of biodiversity monitoring.;Build an image classification pipeline to perform damage assessment using satellite images taken after Hurricane Harvey in the U.S. in 2017.;Use natural language processing techniques to analyze trends in a corpus of text messages sent in the aftermath of the 2010 earthquake in Haiti.","AI and Public Health|In this course, you will be introduced to the basics of artificial intelligence and machine learning and how they are applied in real-world scenarios in the AI for Good space. You will also be introduced to a framework for problem solving where AI is part of the solution. The course concludes with a case study featuring three Jupyter notebook labs where you’ll create an air quality monitoring application for the city of Bogotá, Colombia.|Air Quality Monitoring;AI for Good project framework;Supervised Learning;Exploratory Data Analysis;Jupyter notebooks||AI and Climate Change|In this course, you’ll start with a review of the mechanisms behind anthropogenic climate change and its impact on global temperatures and weather patterns. You will work through two case studies, one using time series analysis for wind power forecasting and another using computer vision for biodiversity monitoring. Both case studies are examples of where AI techniques can be part of the solution when it comes to the mitigation of and adaptation to climate change.|Biodiversity Monitoring;Computer Vision;AI for Good project framework;Supervised Learning;Wind Power Generation Modeling||AI and Disaster Management|In this course, you will be introduced to the four phases of the disaster management cycle; mitigation, preparation, response, and recovery. You’ll work through two case studies in this course. In the first, you will use computer vision to analyze satellite imagery from Hurricane Harvey in 2017 to identify damage in affected areas. In the second, you will use natural language processing techniques to explore trends in aid requests in the aftermath of the 2010 earthquake in Haiti.|Topic Model;Computer Vision;Damage Assessment;AI for Good project framework;Natural Language Processing",https://www.coursera.org/specializations/ai-for-good
6,AI for Medicine Specialization,DeepLearning.AI,Specialization,"48,791",3,4.7,2,Intermediate,Diagnose diseases from x-rays and 3D MRI brain images;Predict patient survival rates more accurately using tree-based models;Estimate treatment effects on patients using data from randomized trials;Automate the task of labeling medical datasets using natural language processing,Machine Learning;Machine Learning Algorithms;Deep Learning;Python Programming;Artificial Neural Networks;Probability & Statistics;Statistical Programming,"AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. This three-course Specialization will give you practical experience in applying machine learning to concrete problems in medicine.;These courses go beyond the foundations of deep learning to teach you the nuances in applying AI to medical use cases.  If you are new to deep learning or want to get a deeper foundation of how neural networks work, we recommend taking the Deep Learning SpecializationOpens in a new tab.;Applied Learning Project;Medicine is one of the fastest-growing and important application areas, with unique challenges like handling missing data. You’ll start by learning the nuances of working with 2D and 3D medical image data. You’ll then apply tree-based models to improve patient survival estimates. You’ll also use data from randomized trials to recommend treatments more suited to individual patients. Finally, you’ll explore how natural language extraction can more efficiently label medical datasets.","AI for Medical Diagnosis|AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. As an AI practitioner, you have the opportunity to join in this transformation of modern medicine. If you're already familiar with some of the math and coding behind AI algorithms, and are eager to develop your skills further to tackle challenges in the healthcare industry, then this specialization is for you. No prior medical expertise is required!;This program will give you practical experience in applying cutting-edge machine learning techniques to concrete problems in modern medicine: - In Course 1, you will create convolutional neural network image classification and segmentation models to make diagnoses of lung and brain disorders. - In Course 2, you will build risk models and survival estimators for heart disease using statistical methods and a random forest predictor to determine patient prognosis. - In Course 3, you will build a treatment effect predictor, apply model interpretation techniques and use natural language processing to extract information from radiology reports. These courses go beyond the foundations of deep learning to give you insight into the nuances of applying AI to medical use cases. As a learner, you will be set up for success in this program if you are already comfortable with some of the math and coding behind AI algorithms. You don't need to be an AI expert, but a working knowledge of deep neural networks, particularly convolutional networks, and proficiency in Python programming at an intermediate level will be essential. If you are relatively new to machine learning or neural networks, we recommend that you first take the Deep Learning Specialization, offered by deeplearning.ai and taught by Andrew Ng. The demand for AI practitioners with the skills and knowledge to tackle the biggest issues in modern medicine is growing exponentially. Join us in this specialization and begin your journey toward building the future of healthcare.|Multi-class classification;Image Segmentation;Machine Learning;Deep Learning;model evaluation||AI for Medical Prognosis|Walk through examples of prognostic tasks;Apply tree-based models to estimate patient survival rates;Navigate practical challenges in medicine like missing data|Random Forest;Machine Learning;Deep Learning;time-to-event modeling;model tuning||AI For Medical Treatment|Estimate treatment effects using data from randomized control trials;Explore methods to interpret diagnostic and prognostic models;Apply natural language processing to extract information from unstructured medical data|Random Forest;natural language entity extraction;treatment effect estimation;machine learning interpretation;question-answering",https://www.coursera.org/specializations/ai-for-medicine
