program_id,course_title,url,num_learning_objectives,num_modules,num_module_contents,coverage_percentage,mean_max_similarity
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,36,1,10,38.88888888888889,0.4610501080751419
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,24,1,8,33.33333333333333,0.4428344548990329
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,9,1,4,66.66666666666666,0.5191761520173814
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,24,1,7,29.166666666666668,0.4875936309496562
0,Cryptography ,https://www.coursera.org/learn/cryptography1,19,1,10,57.89473684210527,0.5208741826446432
0,Network and Communications Security ,https://www.coursera.org/learn/network-and-communications-security,14,1,22,64.28571428571429,0.5598044799906867
0,Access Control,https://www.coursera.org/learn/access-controls,13,1,4,30.76923076923077,0.4254373529782662
1,Frontend Development using React,https://www.coursera.org/learn/frontend-development-using-react,11,3,88,90.9090909090909,0.627546798099171
1,.Net Full Stack Foundation,https://www.coursera.org/learn/dot-net-full-stack-foundation,5,3,61,100.0,0.6757917165756225
1,Backend Development for .Net Full Stack ,https://www.coursera.org/learn/backend-development-dot-net-fullstack,10,3,65,90.0,0.5710556745529175
2,AI Applications in Marketing and Finance,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,6,4,29,50.0,0.45788804690043133
2,AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,7,5,44,100.0,0.735660799912044
2,AI Strategy and Governance,https://www.coursera.org/learn/wharton-ai-strategy-governance,7,4,34,14.285714285714285,0.446301600762776
2,AI Applications in People Management ,https://www.coursera.org/learn/wharton-ai-applications-people-management,8,4,38,75.0,0.6450926661491394
3,Building AI Powered Chatbots Without Programming,https://www.coursera.org/learn/building-ai-powered-chatbots,4,20,70,100.0,0.6526879370212555
3,Generative AI: Prompt Engineering Basics,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,4,3,19,100.0,0.8277238011360168
3,Generative AI: Introduction and Applications,https://www.coursera.org/learn/generative-ai-introduction-and-applications,4,3,20,100.0,0.7818617820739746
3,Introduction to Artificial Intelligence (AI),https://www.coursera.org/learn/introduction-to-ai,4,20,225,100.0,0.8059039562940598
4,Machine Learning Foundations for Product Managers,https://www.coursera.org/learn/machine-learning-foundations-for-product-managers,7,6,48,71.42857142857143,0.6515234793935504
4,Human Factors in AI,https://www.coursera.org/learn/human-factors-in-artificial-intelligence,5,4,33,60.0,0.568450927734375
4,Managing Machine Learning Projects,https://www.coursera.org/learn/managing-machine-learning-projects,1,5,41,100.0,0.5038702487945557
5,AI and Disaster Management,https://www.coursera.org/learn/ai-and-disaster-management,6,3,36,33.33333333333333,0.5551226933797201
5,AI and Public Health,https://www.coursera.org/learn/ai-and-public-health,4,3,37,100.0,0.6088865101337433
5,AI and Climate Change,https://www.coursera.org/learn/ai-and-climate-change,4,4,45,100.0,0.7538776099681854
6,AI for Medical Diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis,5,3,40,20.0,0.44043989777565
6,AI For Medical Treatment,https://www.coursera.org/learn/ai-for-medical-treatment,5,3,31,20.0,0.5049394905567169
6,AI for Medical Prognosis ,https://www.coursera.org/learn/ai-for-medical-prognosis,6,4,66,100.0,0.6546908617019653
7,Introduction to Healthcare,https://www.coursera.org/learn/intro-to-healthcare,3,7,72,100.0,0.6358629663785299
7,AI in Healthcare Capstone,https://www.coursera.org/learn/ai-in-healthcare-capstone,2,5,10,0.0,0.35476648807525635
7,Introduction to Clinical Data,https://www.coursera.org/learn/introduction-clinical-data,5,8,97,80.0,0.5830437421798706
7,Fundamentals of Machine Learning for Healthcare,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,6,8,55,66.66666666666666,0.6018427660067877
7,Evaluations of AI Applications in Healthcare,https://www.coursera.org/learn/evaluations-ai-applications-healthcare,17,8,93,58.82352941176471,0.5314377283348757
8,AWS Cloud Technical Essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials,4,16,224,100.0,0.7237531244754791
8,Migrating to the AWS Cloud,https://www.coursera.org/learn/aws-fundamentals-migrating-to-the-cloud,2,4,32,50.0,0.45127445459365845
8,Architecting Solutions on AWS,https://www.coursera.org/learn/architecting-solutions-on-aws,5,8,112,80.0,0.5669605493545532
9,Creating Behavioral Change,https://www.coursera.org/learn/behavioral-change,2,4,21,50.0,0.6009727120399475
9,Introduction to Abnormal Psychology,https://www.coursera.org/learn/intro-abnormal-psych,3,5,32,66.66666666666666,0.5260847508907318
9,History of Mental Illness,https://www.coursera.org/learn/history-mental-illness,3,5,22,66.66666666666666,0.5300086438655853
10,Advanced Writing,https://www.coursera.org/learn/advanced-writing,1,5,18,0.0,0.42527735233306885
10,Project: Writing a Research Paper,https://www.coursera.org/learn/academic-writing-capstone,7,6,25,0.0,0.3617305840764727
10,Grammar and Punctuation,https://www.coursera.org/learn/grammar-punctuation,14,4,22,78.57142857142857,0.5841894213642392
10,Introduction to Research for Essay Writing,https://www.coursera.org/learn/introduction-to-research-for-essay-writing,11,5,19,18.181818181818183,0.439318757165562
10,Getting Started with Essay Writing,https://www.coursera.org/learn/getting-started-with-essay-writing,1,5,17,100.0,0.6146345734596252
11,Ordered Data Structures,https://www.coursera.org/learn/cs-fundamentals-2,7,4,21,14.285714285714285,0.32745389001710073
11,Object-Oriented Data Structures in C++,https://www.coursera.org/learn/cs-fundamentals-1,4,4,22,25.0,0.4800076559185982
11,Unordered Data Structures,https://www.coursera.org/learn/cs-fundamentals-3,8,4,29,12.5,0.32127954065799713
12,Negotiations,https://www.coursera.org/learn/wharton-online-negotiations,8,4,31,75.0,0.629944946616888
12,Influence,https://www.coursera.org/learn/wharton-influence,7,4,51,57.14285714285714,0.5486451217106411
12,Improving Communication Skills,https://www.coursera.org/learn/wharton-communication-skills,2,4,37,100.0,0.6336714923381805
12,Success,https://www.coursera.org/learn/wharton-success,4,4,27,0.0,0.38184013962745667
13,Communicating Business Analytics Results,https://www.coursera.org/learn/communicating-business-analytics-results,8,4,22,50.0,0.563838467001915
13,Introduction to Data Analytics for Business,https://www.coursera.org/learn/data-analytics-business,10,4,29,90.0,0.629947891831398
13,Business Analytics for Decision Making,https://www.coursera.org/learn/business-analytics-decision-making,11,4,27,45.45454545454545,0.5056677054275166
13,Advanced Business Analytics Capstone,https://www.coursera.org/learn/data-analytics-business-capstone,3,4,21,66.66666666666666,0.5156072378158569
13,Predictive Modeling and Analytics ,https://www.coursera.org/learn/predictive-modeling-analytics,9,4,32,77.77777777777779,0.5716705818970998
14,Linux Kernel Programming and Introduction to Yocto Project,https://www.coursera.org/learn/linux-kernel-programming-yocto-project,3,4,32,100.0,0.679726779460907
14,Linux Embedded System Topics and Projects,https://www.coursera.org/learn/linux-embedded-systems-topics-projects,3,4,22,33.33333333333333,0.5156070590019226
14,Linux System Programming and Introduction to Buildroot,https://www.coursera.org/learn/linux-system-programming-introduction-to-buildroot,5,4,46,100.0,0.7075021386146545
15,Natural Language Processing on Google Cloud,https://www.coursera.org/learn/sequence-models-tensorflow-gcp,9,7,45,88.88888888888889,0.6202167007658217
15,Recommendation Systems on Google Cloud,https://www.coursera.org/learn/recommendation-models-gcp,4,7,54,100.0,0.7623858004808426
15,Production Machine Learning Systems,https://www.coursera.org/learn/gcp-production-ml-systems,4,12,98,25.0,0.47268055379390717
15,Computer Vision Fundamentals with Google Cloud,https://www.coursera.org/learn/image-understanding-tensorflow-gcp,3,7,40,100.0,0.644703189531962
16,Hypothesis-Driven Development,https://www.coursera.org/learn/uva-darden-agile-testing,10,8,172,50.0,0.4937902182340622
16,Agile Meets Design Thinking,https://www.coursera.org/learn/uva-darden-getting-started-agile,5,8,110,80.0,0.5891268849372864
16,Managing an Agile Team,https://www.coursera.org/learn/uva-darden-agile-team-management,6,8,142,100.0,0.6618249217669169
16,Product Analytics and AI,https://www.coursera.org/learn/uva-darden-agile-analytics,17,8,118,82.35294117647058,0.609097561415504
17,Agile Leadership Capstone,https://www.coursera.org/learn/agile-capstone,11,3,21,9.090909090909092,0.40654746239835565
17,Agile Leadership: Introduction to Change,https://www.coursera.org/learn/agile-leadership-introduction-to-change,8,4,26,75.0,0.6471524983644485
17,Agile Organization,https://www.coursera.org/learn/agile-leadership-organization,9,3,21,33.33333333333333,0.5114333298471239
17,Agile Leader Training,https://www.coursera.org/learn/agile-leader-training,17,5,35,35.294117647058826,0.48547780689071207
17,Developing an Agile Team,https://www.coursera.org/learn/developing-agile-team,8,4,29,37.5,0.4813648983836174
18,Algebra: Elementary to Advanced - Polynomials and Roots,https://www.coursera.org/learn/polynomials-roots,3,5,18,0.0,0.4167006214459737
18,Algebra: Elementary to Advanced - Equations & Inequalities,https://www.coursera.org/learn/algebra-i,6,5,19,33.33333333333333,0.4369843304157257
18,Algebra: Elementary to Advanced - Functions & Applications,https://www.coursera.org/learn/algebra-ii,4,3,15,25.0,0.4210270419716835
19,"Graph Search, Shortest Paths, and Data Structures",https://www.coursera.org/learn/algorithms-graphs-data-structures,9,4,31,33.33333333333333,0.4035997639099757
19,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.coursera.org/learn/algorithms-divide-conquer,8,4,44,37.5,0.47657502442598343
19,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",https://www.coursera.org/learn/algorithms-npcomplete,8,4,42,37.5,0.5021589435636997
19,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",https://www.coursera.org/learn/algorithms-greedy,9,4,53,44.44444444444444,0.4903401798672146
20,Battery State-of-Health (SOH) Estimation,https://www.coursera.org/learn/battery-state-of-health,7,6,43,14.285714285714285,0.31458317381995066
20,Battery State-of-Charge (SOC) Estimation,https://www.coursera.org/learn/battery-state-of-charge,2,7,44,50.0,0.5196172297000885
20,Equivalent Circuit Cell Model Simulation,https://www.coursera.org/learn/equivalent-circuit-cell-model-simulation,8,6,39,12.5,0.3487810604274273
20,Introduction to battery-management systems,https://www.coursera.org/learn/battery-management-systems,3,5,37,66.66666666666666,0.5040550629297892
20,Battery Pack Balancing and Power Estimation,https://www.coursera.org/learn/battery-pack-balancing-power-estimation,4,6,35,25.0,0.4019874185323715
21,Interfacing with the Arduino,https://www.coursera.org/learn/interface-with-arduino,6,4,40,33.33333333333333,0.4315864493449529
21,The Arduino Platform and C Programming,https://www.coursera.org/learn/arduino-platform,5,4,37,20.0,0.42667757272720336
21,Introduction to the Internet of Things and Embedded Systems,https://www.coursera.org/learn/iot,5,4,38,40.0,0.5183584868907929
21,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,https://www.coursera.org/learn/raspberry-pi-platform,7,4,40,42.857142857142854,0.5100331221308027
21,Programming for the Internet of Things Project,https://www.coursera.org/learn/internet-of-things-project,15,6,15,46.666666666666664,0.5156192262967427
21,Interfacing with the Raspberry Pi,https://www.coursera.org/learn/raspberry-pi-interface,2,4,39,0.0,0.36102622747421265
22,Anatomy: Human Neuroanatomy,https://www.coursera.org/learn/anatomy403-3x,4,7,93,100.0,0.680654302239418
22,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",https://www.coursera.org/learn/anatomy403-4x,8,3,52,37.5,0.46883660554885864
22,Anatomy: Musculoskeletal and Integumentary Systems,https://www.coursera.org/learn/anatomy403-1x,4,4,76,100.0,0.7456752806901932
22,"Anatomy: Cardiovascular, Respiratory and Urinary Systems",https://www.coursera.org/learn/anatomy403-2x,3,4,37,100.0,0.7891064087549845
23,"Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/aadcapstone,7,4,8,14.285714285714285,0.2908783257007599
23,Java for Android,https://www.coursera.org/learn/java-for-android,6,8,66,50.0,0.5397148380676905
23,"Android App Components - Services, Local IPC, and Content Providers",https://www.coursera.org/learn/androidapps-2,1,4,47,0.0,0.3818517029285431
23,Engineering Maintainable Android Apps,https://www.coursera.org/learn/engineeringandroidapps,1,5,38,0.0,0.43877291679382324
23,"Android App Components - Intents, Activities, and Broadcast Receivers",https://www.coursera.org/learn/androidapps,3,5,45,0.0,0.35874485969543457
24,Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python,4,6,33,75.0,0.5674310252070427
24,Python Project for Data Science,https://www.coursera.org/learn/python-project-for-data-science,5,2,4,0.0,0.15991864129900932
24,Applied Data Science Capstone,https://www.coursera.org/learn/applied-data-science-capstone,7,5,16,57.14285714285714,0.5047170945576259
24,"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,4,25,130,100.0,0.6415150612592697
24,Data Visualization with Python,https://www.coursera.org/learn/python-for-data-visualization,18,5,31,77.77777777777779,0.7152805046902763
25,Applied Social Network Analysis in Python,https://www.coursera.org/learn/python-social-network-analysis,12,4,19,58.333333333333336,0.4927061125636101
25,"Applied Plotting, Charting & Data Representation in Python",https://www.coursera.org/learn/python-plotting,4,4,25,50.0,0.4759022071957588
25,Introduction to Data Science in Python,https://www.coursera.org/learn/python-data-analysis,11,4,29,72.72727272727273,0.5424004413864829
25,Applied Machine Learning in Python,https://www.coursera.org/learn/python-machine-learning,14,4,38,85.71428571428571,0.5675492925303323
25,Applied Text Mining in Python,https://www.coursera.org/learn/python-text-mining,11,4,20,72.72727272727273,0.5974580970677462
26,Introduction to R Programming for Data Science,https://www.coursera.org/learn/introducton-r-programming-data-science,12,10,50,58.333333333333336,0.5321343367298444
26,SQL for Data Science with R,https://www.coursera.org/learn/sql-data-science-r,4,12,76,100.0,0.6407850533723831
26,Data Science with R - Capstone Project,https://www.coursera.org/learn/data-science-with-r-capstone-project,9,12,36,11.11111111111111,0.4375501374403636
26,Data Visualization with R,https://www.coursera.org/learn/data-visualization-r,8,8,38,75.0,0.5997461341321468
26,Data Analysis with R,https://www.coursera.org/learn/data-analysis-with-r,11,12,60,72.72727272727273,0.5767584957859733
27,Getting Started with Git and GitHub,https://www.coursera.org/learn/getting-started-with-git-and-github,4,4,16,75.0,0.6071519404649734
27,Developing AI Applications with Python and Flask,https://www.coursera.org/learn/python-project-for-ai-application-development,5,6,42,100.0,0.7039456129074096
27,Hands-on Introduction to Linux Commands and Shell Scripting,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,4,12,72,100.0,0.7051440328359604
27,Introduction to Software Engineering,https://www.coursera.org/learn/introduction-to-software-engineering,9,12,116,88.88888888888889,0.6838744282722473
27,"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,4,25,130,100.0,0.6415150612592697
28,Reliable Google Cloud Infrastructure: Design and Process,https://www.coursera.org/learn/cloud-infrastructure-design-process,4,30,243,100.0,0.680321991443634
28,Essential Google Cloud Infrastructure: Foundation,https://www.coursera.org/learn/gcp-infrastructure-foundation,4,12,126,100.0,0.6588267385959625
28,Elastic Google Cloud Infrastructure: Scaling and Automation,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,4,15,135,100.0,0.6560135036706924
28,Essential Google Cloud Infrastructure: Core Services,https://www.coursera.org/learn/gcp-infrastructure-core-services,4,18,165,100.0,0.7088450044393539
28,Google Cloud Fundamentals: Core Infrastructure,https://www.coursera.org/learn/gcp-fundamentals,4,54,240,100.0,0.7398479580879211
29,Architecting with Google Kubernetes Engine: Production,https://www.coursera.org/learn/deploying-secure-kubernetes-containers-in-production,4,6,27,100.0,0.6680441349744797
29,Getting Started with Google Kubernetes Engine,https://www.coursera.org/learn/google-kubernetes-engine,4,12,58,100.0,0.807259738445282
29,Architecting with Google Kubernetes Engine: Workloads,https://www.coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke,5,5,29,80.0,0.682894253730774
30,Armv8-M Architecture Fundamentals,https://www.coursera.org/learn/armv8-m-architecture-fundamentals,4,6,97,100.0,0.5851250737905502
30,Advanced Armv8-M Features,https://www.coursera.org/learn/advanced-armv8-m-features,4,9,84,100.0,0.9224235117435455
30,Arm Cortex-M Processors Overview,https://www.coursera.org/learn/arm-cortex-m-processors-overview-course1,2,2,16,100.0,0.8256387710571289
30,Cortex-M Software Development Fundamentals,https://www.coursera.org/learn/cortex-m-software-development-fundamentals,3,5,63,100.0,0.6231361428896586
31,Machine Learning: an overview,https://www.coursera.org/learn/machine-learning-overview,5,3,10,100.0,0.6934794068336487
31,Artificial Intelligence and legal issues,https://www.coursera.org/learn/artificial-intelligence-and-legal-issues,6,4,12,66.66666666666666,0.5302735716104507
31,Ethics of Artificial Intelligence,https://www.coursera.org/learn/ethics-of-artificial-intelligence,6,4,14,66.66666666666666,0.5934120217959086
31,Technologies and platforms for Artificial Intelligence,https://www.coursera.org/learn/technologies-and-platforms-for-artificial-intelligence,3,4,12,100.0,0.5961176156997681
31,Artificial Intelligence: An Overview,https://www.coursera.org/learn/artificial-intelligence-an-overview,11,5,27,63.63636363636363,0.573774432594126
32,"ETL and Data Pipelines with Shell, Airflow and Kafka",https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka,4,10,54,75.0,0.682601198554039
32,BI Dashboards with IBM Cognos Analytics and Google Looker,https://www.coursera.org/learn/bi-dashboards-with-ibm-cognos-analytics-and-google-looker,4,6,28,100.0,0.778208777308464
32,Hands-on Introduction to Linux Commands and Shell Scripting,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,4,12,72,100.0,0.7051440328359604
32,Data Warehouse Fundamentals,https://www.coursera.org/learn/data-warehouse-fundamentals,4,6,44,75.0,0.6412345468997955
32,Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,4,24,128,100.0,0.6436463892459869
33,Primary and Secondary Batteries,https://www.coursera.org/learn/primary-and-secondary-batteries,1,4,34,100.0,0.6398612856864929
33,Batteries and Electric Vehicles,https://www.coursera.org/learn/batteries-and-electric-vehicles,1,5,41,100.0,0.6073018312454224
33,Zn and Ni Based Batteries,https://www.coursera.org/learn/zn-and-ni-based-batteries,1,4,33,100.0,0.6031249761581421
33,"Battery Comparison, Manufacturing, and Packaging",https://www.coursera.org/learn/battery-comparison-manufacturing-and-packaging,1,4,39,100.0,0.5568351745605469
33,Lithium Based Batteries,https://www.coursera.org/learn/lithium-based-batteries,1,4,34,100.0,0.5875368714332581
34,Bayesian Statistics: Mixture Models,https://www.coursera.org/learn/mixture-models,7,5,33,57.14285714285714,0.5591199653489249
34,Bayesian Statistics: From Concept to Data Analysis,https://www.coursera.org/learn/bayesian-statistics,9,4,37,66.66666666666666,0.5249290002716912
34,Bayesian Statistics: Capstone Project,https://www.coursera.org/learn/bayesian-statistics-capstone,3,4,11,33.33333333333333,0.3969329098860423
34,Bayesian Statistics: Time Series Analysis,https://www.coursera.org/learn/bayesian-statistics-time-series-analysis,4,5,37,25.0,0.439567469060421
34,Bayesian Statistics: Techniques and Models,https://www.coursera.org/learn/mcmc-bayesian-statistics,10,5,45,60.0,0.531783503293991
35,Effectively delivering the news to your audience,https://www.coursera.org/learn/deliver-the-news,6,5,19,100.0,0.6143581966559092
35,What is news? ,https://www.coursera.org/learn/what-is-news,1,5,25,0.0,0.3782379627227783
35,Gathering and Developing the News,https://www.coursera.org/learn/gathering-the-news,5,4,16,80.0,0.6209345102310181
35,"Journalism, the future, and you!",https://www.coursera.org/learn/international-journalism,1,5,20,0.0,0.43690747022628784
35,Capstone: Create your own professional journalistic portfolio,https://www.coursera.org/learn/become-a-journalist-capstone,8,5,14,50.0,0.4448280744254589
36,EMT Foundations,https://www.coursera.org/learn/emt-foundations,4,5,53,50.0,0.5594648569822311
36,"Medical Emergencies: CPR, Toxicology, and Wilderness",https://www.coursera.org/learn/medical-emergencies-cpr-toxicology-wilderness,3,4,45,66.66666666666666,0.4878744880358378
36,Trauma Emergencies and Care,https://www.coursera.org/learn/trauma-emergencies-and-care,10,4,42,70.0,0.6571329087018967
36,"Emergency Care: Pregnancy, Infants, and Children",https://www.coursera.org/learn/emergency-care-pregnancy-infants-children,8,4,51,62.5,0.5956460796296597
36,Prepare for the EMT Certification Test,https://www.coursera.org/learn/prepare-emt-certification-test,13,4,31,30.76923076923077,0.43635986974606145
36,"Medical Emergencies: Airway, Breathing, and Circulation",https://www.coursera.org/learn/medical-emergencies-airway-breathing-circulation,4,5,57,50.0,0.5506610423326492
37,Big Data - Capstone Project,https://www.coursera.org/learn/big-data-project,1,7,17,100.0,0.5857271552085876
37,Big Data Modeling and Management Systems,https://www.coursera.org/learn/big-data-management,15,6,44,86.66666666666667,0.6421147803465526
37,Machine Learning With Big Data,https://www.coursera.org/learn/big-data-machine-learning,6,7,46,83.33333333333334,0.660858154296875
37,Big Data Integration and Processing,https://www.coursera.org/learn/big-data-integration-processing,7,7,44,57.14285714285714,0.5492267608642578
37,Graph Analytics for Big Data,https://www.coursera.org/learn/big-data-graph-analytics,4,5,45,25.0,0.4725113809108734
37,Introduction to Big Data,https://www.coursera.org/learn/big-data-introduction,8,6,48,87.5,0.6110837310552597
38,"Comparing Genes, Proteins, and Genomes (Bioinformatics III)",https://www.coursera.org/learn/comparing-genomes,1,6,24,100.0,0.7517791986465454
38,Genome Sequencing (Bioinformatics II),https://www.coursera.org/learn/genome-sequencing,4,5,25,25.0,0.4095524251461029
38,Molecular Evolution (Bioinformatics IV),https://www.coursera.org/learn/molecular-evolution,9,6,23,55.55555555555556,0.4953490131431156
38,Finding Hidden Messages in DNA (Bioinformatics I),https://www.coursera.org/learn/dna-analysis,3,5,14,33.33333333333333,0.41549866398175556
38,Genomic Data Science and Clustering (Bioinformatics V),https://www.coursera.org/learn/genomic-data,1,3,12,0.0,0.4146106243133545
38,Finding Mutations in DNA and Proteins (Bioinformatics VI),https://www.coursera.org/learn/dna-mutations,10,6,23,40.0,0.4759685307741165
38,Bioinformatics Capstone: Big Data in Biology,https://www.coursera.org/learn/bioinformatics-project,4,3,6,0.0,0.28555828332901
39,Multiple Regression Analysis in Public Health ,https://www.coursera.org/learn/multiple-regression-analysis-public-health,13,4,26,30.76923076923077,0.47293675404328567
39,Summary Statistics in Public Health ,https://www.coursera.org/learn/summary-statistics,6,6,32,83.33333333333334,0.6012248396873474
39,Simple Regression Analysis in Public Health ,https://www.coursera.org/learn/simple-regression-analysis-public-health,9,5,36,44.44444444444444,0.5168342656559415
