program_id,course_title,url,num_learning_objectives,num_modules,num_module_contents,coverage_percentage,mean_max_similarity
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,36,1,10,38.88888888888889,0.4610501436723603
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,24,1,8,33.33333333333333,0.4428344660749038
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,9,1,4,66.66666666666666,0.5191761884424422
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,24,1,7,29.166666666666668,0.4875936694443226
0,Cryptography ,https://www.coursera.org/learn/cryptography1,19,1,10,57.89473684210527,0.5208741975458044
0,Network and Communications Security ,https://www.coursera.org/learn/network-and-communications-security,14,1,22,64.28571428571429,0.5598045119217464
0,Access Control,https://www.coursera.org/learn/access-controls,13,1,4,30.76923076923077,0.4254373896580476
1,Frontend Development using React,https://www.coursera.org/learn/frontend-development-using-react,11,3,88,90.9090909090909,0.6275468143549833
1,.Net Full Stack Foundation,https://www.coursera.org/learn/dot-net-full-stack-foundation,5,3,61,100.0,0.6757917642593384
1,Backend Development for .Net Full Stack ,https://www.coursera.org/learn/backend-development-dot-net-fullstack,10,3,65,90.0,0.571055668592453
2,AI Applications in Marketing and Finance,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,6,4,29,50.0,0.45788807173569995
2,AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,7,5,44,100.0,0.735660799912044
2,AI Strategy and Governance,https://www.coursera.org/learn/wharton-ai-strategy-governance,7,4,34,14.285714285714285,0.4463016263076237
2,AI Applications in People Management ,https://www.coursera.org/learn/wharton-ai-applications-people-management,8,4,38,75.0,0.6450927294790745
3,Building AI Powered Chatbots Without Programming,https://www.coursera.org/learn/building-ai-powered-chatbots,4,20,70,100.0,0.6526879668235779
3,Generative AI: Prompt Engineering Basics,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,4,3,19,100.0,0.8277239203453064
3,Generative AI: Introduction and Applications,https://www.coursera.org/learn/generative-ai-introduction-and-applications,4,3,20,100.0,0.7818618565797806
3,Introduction to Artificial Intelligence (AI),https://www.coursera.org/learn/introduction-to-ai,4,20,225,100.0,0.8059039413928986
4,Machine Learning Foundations for Product Managers,https://www.coursera.org/learn/machine-learning-foundations-for-product-managers,7,6,48,71.42857142857143,0.6515235219682965
4,Human Factors in AI,https://www.coursera.org/learn/human-factors-in-artificial-intelligence,5,4,33,60.0,0.5684509396553039
4,Managing Machine Learning Projects,https://www.coursera.org/learn/managing-machine-learning-projects,1,5,41,100.0,0.5038702487945557
5,AI and Disaster Management,https://www.coursera.org/learn/ai-and-disaster-management,6,3,36,33.33333333333333,0.5551227380832037
5,AI and Public Health,https://www.coursera.org/learn/ai-and-public-health,4,3,37,100.0,0.6088865846395493
5,AI and Climate Change,https://www.coursera.org/learn/ai-and-climate-change,4,4,45,100.0,0.7538774907588959
6,AI for Medical Diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis,5,3,40,20.0,0.4404399752616882
6,AI For Medical Treatment,https://www.coursera.org/learn/ai-for-medical-treatment,5,3,31,20.0,0.5049395024776459
6,AI for Medical Prognosis ,https://www.coursera.org/learn/ai-for-medical-prognosis,6,4,66,100.0,0.6546908915042877
7,Introduction to Healthcare,https://www.coursera.org/learn/intro-to-healthcare,3,7,72,100.0,0.6358629663785299
7,AI in Healthcare Capstone,https://www.coursera.org/learn/ai-in-healthcare-capstone,2,5,10,0.0,0.35476648807525635
7,Introduction to Clinical Data,https://www.coursera.org/learn/introduction-clinical-data,5,8,97,80.0,0.5830437421798706
7,Fundamentals of Machine Learning for Healthcare,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,6,8,55,66.66666666666666,0.6018428156773249
7,Evaluations of AI Applications in Healthcare,https://www.coursera.org/learn/evaluations-ai-applications-healthcare,17,8,93,58.82352941176471,0.5314377388533424
8,AWS Cloud Technical Essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials,4,16,224,100.0,0.7237531691789627
8,Migrating to the AWS Cloud,https://www.coursera.org/learn/aws-fundamentals-migrating-to-the-cloud,2,4,32,50.0,0.45127442479133606
8,Architecting Solutions on AWS,https://www.coursera.org/learn/architecting-solutions-on-aws,5,8,112,80.0,0.5669605970382691
9,Creating Behavioral Change,https://www.coursera.org/learn/behavioral-change,2,4,21,50.0,0.6009727418422699
9,Introduction to Abnormal Psychology,https://www.coursera.org/learn/intro-abnormal-psych,3,5,32,66.66666666666666,0.5260847409566244
