,url
0,https://www.coursera.org/specializations/sscp-training
1,https://www.coursera.org/specializations/dot-net-fullstack
2,https://www.coursera.org/specializations/ai-for-business-wharton
3,https://www.coursera.org/specializations/ai-foundations-for-everyone
4,https://www.coursera.org/specializations/ai-product-management-duke
5,https://www.coursera.org/specializations/ai-for-good
6,https://www.coursera.org/specializations/ai-for-medicine
7,https://www.coursera.org/specializations/ai-healthcare
8,https://www.coursera.org/specializations/aws-fundamentals
9,https://www.coursera.org/specializations/abnormal-psychology
10,https://www.coursera.org/specializations/academic-english
11,https://www.coursera.org/specializations/cs-fundamentals
12,https://www.coursera.org/specializations/wharton-success
13,https://www.coursera.org/specializations/data-analytics-business
14,https://www.coursera.org/specializations/advanced-embedded-linux-development
15,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp
16,https://www.coursera.org/specializations/agile-development
17,https://www.coursera.org/specializations/agile-leadership-change-management
18,https://www.coursera.org/specializations/algebra-elementary-to-advanced
19,https://www.coursera.org/specializations/algorithms
20,https://www.coursera.org/specializations/algorithms-for-battery-management-systems
21,https://www.coursera.org/specializations/iot
22,https://www.coursera.org/specializations/anatomy
23,https://www.coursera.org/specializations/android-app-development
24,https://www.coursera.org/specializations/applied-data-science
25,https://www.coursera.org/specializations/data-science-python
26,https://www.coursera.org/specializations/applied-data-science-r
27,https://www.coursera.org/specializations/software-engineering-fundamentals
28,https://www.coursera.org/specializations/gcp-architecture
29,https://www.coursera.org/specializations/architecting-google-kubernetes-engine
30,https://www.coursera.org/specializations/cortex-m-architecture-and-software-development
31,https://www.coursera.org/specializations/artificial-intelligence-overview
32,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering
33,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
34,https://www.coursera.org/specializations/battery-technologies
35,https://www.coursera.org/specializations/bayesian-statistics
36,https://www.coursera.org/specializations/become-a-journalist
37,https://www.coursera.org/specializations/become-an-emt
38,https://www.coursera.org/specializations/big-data
39,https://www.coursera.org/specializations/bioinformatics
40,https://www.coursera.org/specializations/biostatistics-public-health
41,https://www.coursera.org/specializations/blockchain
42,https://www.coursera.org/specializations/blockchain-revolution-enterprise
43,https://www.coursera.org/specializations/blockchain-financial-services
44,https://www.coursera.org/specializations/branding-the-creative-journey
45,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale
46,https://www.coursera.org/specializations/building-no-code-apps-with-appsheet
47,https://www.coursera.org/specializations/analytics
48,https://www.coursera.org/specializations/business-analytics
49,https://www.coursera.org/specializations/business-data-management-commfcation
50,https://www.coursera.org/specializations/business-english
51,https://www.coursera.org/specializations/wharton-business-foundations
52,https://www.coursera.org/specializations/business-statistics-analysis
53,https://www.coursera.org/specializations/wharton-global-business-strategy
54,https://www.coursera.org/specializations/business-strategy
55,https://www.coursera.org/specializations/business-value-project-management
56,https://www.coursera.org/specializations/wharton-business-financial-modeling
57,https://www.coursera.org/specializations/uol-business-and-marketing-strategies
58,https://www.coursera.org/specializations/c-programming-linux
59,https://www.coursera.org/specializations/programming-unity-game-development
60,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment
61,https://www.coursera.org/specializations/cad-design-digital-manufacturing
62,https://www.coursera.org/specializations/cancer-biology
63,https://www.coursera.org/specializations/career-success
64,https://www.coursera.org/specializations/certified-in-cybersecurity
65,https://www.coursera.org/specializations/direccion-empresas
66,https://www.coursera.org/specializations/climatechangeandsustainableinvesting
67,https://www.coursera.org/specializations/clinical-trials-operations
68,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
69,https://www.coursera.org/specializations/cloud-computing-law
70,https://www.coursera.org/specializations/cloud-native-development-openshift-kubernetes
71,https://www.coursera.org/specializations/coaching-skills-manager
72,https://www.coursera.org/specializations/coding-for-everyone
73,https://www.coursera.org/specializations/competitive-strategy
74,https://www.coursera.org/specializations/computational-social-science-ucdavis
75,https://www.coursera.org/specializations/computer-vision
76,https://www.coursera.org/specializations/digital-advertising-strategy
77,https://www.coursera.org/specializations/conflict-management
78,https://www.coursera.org/specializations/construction-management
79,https://www.coursera.org/specializations/core-java
80,https://www.coursera.org/specializations/costaccounting
81,https://www.coursera.org/specializations/creating-business-value-with-data-and-looker
82,https://www.coursera.org/specializations/creative-writing
83,https://www.coursera.org/specializations/creativity-ai
84,https://www.coursera.org/specializations/team-building
85,https://www.coursera.org/specializations/customer-experiences-with-contact-center-ai-dialogflow-cx
86,https://www.coursera.org/specializations/customer-experience-gcp
87,https://www.coursera.org/specializations/cyber-security
88,https://www.coursera.org/specializations/cybersecurity-attack-and-defense
89,https://www.coursera.org/specializations/cbrops
90,https://www.coursera.org/specializations/cybersecurity-risk-management-frameworks
91,https://www.coursera.org/specializations/pwc-analytics
92,https://www.coursera.org/specializations/data-analysis-visualization-foundations
93,https://www.coursera.org/specializations/statistics
94,https://www.coursera.org/specializations/data-analytics-in-the-public-sector-with-r
95,https://www.coursera.org/specializations/data-engineering-foundations
96,https://www.coursera.org/specializations/gcp-data-machine-learning
97,https://www.coursera.org/specializations/data-literacy
98,https://www.coursera.org/specializations/data-mining
99,https://www.coursera.org/specializations/jhu-data-science
100,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications
101,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
102,https://www.coursera.org/specializations/data-science-with-databricks-for-data-analysts
